no,category,color,도로명전체주소,brand,상세영업상태명,소재지전체주소,영업상태명,openDate,closeDate,latitude,longitude
99,cafe,purple,"인천광역시 연수구 송도과학로27번길 55 (송도동, 롯데캐슬캠퍼스 타운 302동 C-110호)",베리나이스,영업,인천광역시 연수구 송도동 149번지 롯데캐슬캠퍼스 타운 302동 C-110호 ,운영중,20160510,,37.3880544,126.6651321
100,cafe,purple,"인천광역시 연수구 송도과학로27번길 55, 301동 A115호 (송도동, 롯데캐슬 캠퍼스타운)",이디야 송도캠퍼스타운점,영업,인천광역시 연수구 송도동 149번지 롯데캐슬 캠퍼스타운 301 A115호 ,운영중,20160510,,37.3880544,126.6651321
101,cafe,purple,"인천광역시 연수구 신송로125번길 7 (송도동, 이리옴프라자 105-1호)",동경솜빙,폐업,인천광역시 연수구 송도동 3-5번지 이리옴프라자 105-1호 ,폐업,20160519,20161110,37.3948805,126.6515593
102,cafe,purple,"인천광역시 연수구 송도과학로27번길 55 (송도동, 롯데캐슬캠퍼스타운 301동 B-111호)",엠엠티에이치070,영업,인천광역시 연수구 송도동 149번지 롯데캐슬캠퍼스타운 301동 B-111호 ,운영중,20160513,,37.3880544,126.6651321
103,cafe,purple,"인천광역시 연수구 송도과학로27번길 55 (송도동, 롯데캐슬캠퍼스타운 C-201,202호)",카페드로젠,영업,"인천광역시 연수구 송도동 149번지 롯데캐슬캠퍼스타운 C-201,202호 ",운영중,20160711,,37.3880544,126.6651321
104,cafe,purple,"인천광역시 연수구 센트럴로 232 (송도동, 더샵센트럴파크1 E동 178호)",삼몬타나(SAMMONTANA)본점,폐업,인천광역시 연수구 송도동 23-3번지 더샵센트럴파크1 E동 178호 ,폐업,20160817,20160825,37.396669,126.6377988
105,cafe,purple,"인천광역시 연수구 센트럴로 350 (송도동, 지상1층 인천펜타포트 락페스티벌 행사장내)",커피위드인,폐업,인천광역시 연수구 송도동 26-1번지 지상1층 인천펜타포트 락페스티벌 행사장내 ,폐업,20160808,20160816,37.3943277,126.640779
106,cafe,purple,"인천광역시 연수구 센트럴로 350 (송도동, 지상1층 인천펜타포트락페스티벌 행사장내)",망고세븐,폐업,인천광역시 연수구 송도동 26-1번지 지상1층 인천펜타포트락페스티벌 행사장내 ,폐업,20160808,20160816,37.3943277,126.640779
107,cafe,purple,"인천광역시 연수구 송도과학로16번길 33-2, B동 지상1층 132호 (송도동, 송도트리플스트리트점)",공차 트리플스트리트점,영업,인천광역시 연수구 송도동 174-3번지 송도트리플스트리트점 B동 132호,운영중,20170417,,37.3797524,126.6610888
108,cafe,purple,"인천광역시 연수구 송도과학로16번길 33-4, D동 지상1층 112호 (송도동, 송도트리플스트리트)",로스터스(정진원의 커피볶는집),영업,인천광역시 연수구 송도동 176-5번지 송도트리플스트리트 D동 112호,운영중,20170417,,37.3787776,126.6627003
109,cafe,purple,"인천광역시 연수구 송도과학로16번길 33-2, B동 지상1층 106호 (송도동, 송도트리플스트리트)",다인카페(cafe) 송도점,영업,인천광역시 연수구 송도동 174-3번지 송도트리플스트리트 B동 106호,운영중,20170420,,37.3797524,126.6610888
110,cafe,purple,"인천광역시 연수구 센트럴로 123 (송도동, 송도컨벤시아전시장내 지상1층 일부)",익스트림커피,폐업,인천광역시 연수구 송도동 6-1번지 송도컨벤시아전시장내 지상1층 일부 ,폐업,20170331,20170403,37.3881259,126.6460025
111,cafe,purple,"인천광역시 연수구 센트럴로 123 (송도동, 송도컨벤시아전시장 지상1층 일부)",닥터빈스,폐업,인천광역시 연수구 송도동 6-1번지 송도컨벤시아전시장 지상1층 일부 ,폐업,20170331,20170417,37.3881259,126.6460025
112,cafe,purple,"인천광역시 연수구 송도과학로16번길 33-3, 지하2층 (송도동, 송도트리플스트리트 C동, B215-3호)",브알라,영업,인천광역시 연수구 송도동 176-1번지 송도트리플스트리트 C동(B215-3호) ,운영중,20170330,,37.3797524,126.6610888
113,cafe,purple,"인천광역시 연수구 컨벤시아대로 81, 1층 138호 (송도동, 드림시티)",아멜라떼(송도점),영업,인천광역시 연수구 송도동 3-2번지 드림시티 138호 ,운영중,20170404,,37.3949014,126.6501562
114,cafe,purple,"인천광역시 연수구 송도미래로 150 (송도동, 정문보안동 지상1층 일부)",앰코코리아 카페베네,영업,인천광역시 연수구 송도동 220번지 정문보안동 지상1층 일부 ,운영중,20170404,,37.3600611,126.6555512
115,cafe,purple,"인천광역시 연수구 송도국제대로 123 (송도동, 현대프리미엄아울렛 지하1층)",슈엣,폐업,인천광역시 연수구 송도동 168-1번지 현대프리미엄아울렛 지하1층 ,폐업,20170523,20170801,37.3848777,126.6587343
116,cafe,purple,"인천광역시 연수구 센트럴로 123, 지상1층 (송도동, 송도컨벤시아 전시장내)",전시기획키즈캠핑,폐업,인천광역시 연수구 송도동 6-1번지 송도컨벤시아 전시장내 ,폐업,20150701,20160829,37.3881259,126.6460025
117,cafe,purple,"인천광역시 연수구 센트럴로 160 (송도동, 파크게이트 166호,167호)",달콤커피 송도센트럴파크점,영업,"인천광역시 연수구 송도동 23-5번지 파크게이트 166호,167호 ",운영중,20150706,,37.3943277,126.640779
118,cafe,purple,"인천광역시 연수구 해돋이로 107 (송도동, 더샵퍼스트월드 E동 4호)",킹스맨까페,영업,인천광역시 연수구 송도동 4-1번지 더샵퍼스트월드 E동 4호 ,운영중,20150903,,37.3910848,126.6480396
119,cafe,purple,"인천광역시 연수구 센트럴로 263 (송도동, 국제업무단지 c8-2블럭 업무복합시설 지상3층)",까페푸드림,영업,인천광역시 연수구 송도동 29-13번지 국제업무단지 c8-2블럭 업무복합시설 지상3층 ,운영중,20150820,,37.3982989,126.6337295
120,cafe,purple,"인천광역시 연수구 아트센터대로 149 (송도동, 커낼워크 102동 122호)",쥬씨커낼워크점,영업,인천광역시 연수구 송도동 23-1번지 커낼워크 102동 122호 ,운영중,20160517,,37.3981307,126.6356333
